CODE_CLT;C_CHEQUE_MNT;C_CHEQUE_NB;C_DEBLOC_CREDIT_MNT;C_DEBLOC_CREDIT_NB;C_MNT;C_NB;C_VERS_ESPECE_MNT;C_VERS_ESPECE_NB;C_VIREMENT_MNT;C_VIREMENT_NB;D_CHEQUE_MNT;D_CHEQUE_NB;D_MNT;D_NB;D_PMNT_TPE_MNT;D_PMNT_TPE_NB;D_REMB_CREDIT_MNT;D_REMB_CREDIT_NB;D_RET_DAB_MNT;D_RET_DAB_NB;D_RET_ESPECE_MNT;D_RET_ESPECE_NB;D_VIREMENT_MNT;D_VIREMENT_NB
5582;0;0;0;0;454.499;2;0;0;454.371;1;0;0;561.9386667;7.666666667;0;0;307.3996667;2;0;0;233.3333333;0.666666667;0;0
5583;0;0;7500;0.333333333;8329.382333;2.666666667;0;0;796.034;1.333333333;0;0;8488.8;14.66666667;0;0;5400.256333;1;436.54;4;1306.666667;1.333333333;33.33333333;0.666666667
5584;0;0;0;0;954.8143333;2;0;0;952.4533333;1.666666667;0;0;1235.361;10.33333333;55;0.666666667;323.463;1;454.6833333;3.333333333;380;1;0;0
5585;0;0;0;0;942.0156667;2;0;0;942.0156667;2;0;0;793.697;7;0;0;374.3126667;2;84.02;2;323.3333333;0.333333333;0;0
5586;0;0;0;0;647.251;2.333333333;0;0;647.223;1.666666667;0;0;682.4006667;6.666666667;0;0;220.3856667;1;0;0;445;2;0;0
5587;0;0;0;0;1012.419667;1.666666667;0;0;1012.419667;1.666666667;0;0;1012.2;8.333333333;0;0;444.0046667;2;540.7666667;2.666666667;0;0;0;0
5588;0;0;5833.333333;0.333333333;6564.067333;2.333333333;26.66666667;0.333333333;704.066;1.333333333;0;0;6439.780333;11.66666667;0;0;4668.149667;1;283.3333333;1;1213.333333;3;0;0
5589;0;0;0;0;914.7233333;2;0;0;914.696;1;0;0;1752.625667;12.33333333;0;0;397.1876667;1;0;0;1336.106667;5.666666667;0;0
5590;0;0;0;0;1338.104667;2.333333333;0;0;1338.090667;1.666666667;0;0;1705.758333;14;0;0;548.0186667;2.666666667;410;3.333333333;693.3333333;1;0;0
5591;0;0;0;0;594.6826667;1.333333333;0;0;594.6786667;1;0;0;453.4166667;5.333333333;0;0;162.67;1;0;0;276.6666667;0.666666667;0;0
